source_term, target_term, type_relation
codeRepository,	repository, same_as
softwareVersion,version, same_as
downloadUrl, file, same_as
softwareVersion, version, same_as
releaseNotes, note, same_as
author,	author, same_as
datePublished,	date, same_as 
datePublished, year, part_of 
datePublished, month, part_of
editor,editor, same_as
license, license, same_as
publisher, publisher, same_as
description, abstract, same_as
identifier, doi, same_as
identifier, hal_id, same_as
url, url, same_as
affiliation, organization, same_as